attribute,diff_acumulada,diff_promedio,frecuencia,abs_diff_promedio,xgb_promedio,linear_promedio,abs_diff_acumulada
Wood_Deck_SF,-19102.247524752474,-955.1123762376237,20,997.0123762376237,182.65,1137.7623762376238,19102.247524752474
Open_Porch_SF,-9182.809232004278,-459.1404616002139,20,464.7404616002139,12.25,471.3904616002139,9182.809232004278
Garage_Area,6968.928571428572,348.44642857142856,20,357.4378571428571,405.3,56.85357142857142,6968.928571428572
Total_Bsmt_SF,2441.7300000000005,122.08650000000003,20,122.08650000000003,128.5,6.413499999999976,2441.7300000000005
First_Flr_SF,693.8940397351009,34.69470198675505,20,203.90529801324496,168.8,134.10529801324498,693.8940397351009
Second_Flr_SF,291.0,14.55,20,14.55,14.55,0.0,291.0
Bsmt_Full_Bath,-19.0,-0.95,20,1.25,0.4,1.35,19.0
Full_Bath,19.0,0.95,20,1.05,1.25,0.3,19.0
Exter_Qual,-15.0,-0.75,20,0.75,0.9,1.65,15.0
House_Style_One_Story,14.0,0.7,20,0.7,0.1,-0.6,14.0
Fireplaces,12.0,0.6,20,0.6,0.65,0.05,12.0
Half_Bath,12.0,0.6,20,0.7,0.7,0.1,12.0
Kitchen_AbvGr,-6.0,-0.3,20,0.3,0.0,0.3,6.0
Garage_Finish,6.0,0.3,20,0.5,0.65,0.35,6.0
Heating_QC,2.0,0.1,20,0.1,0.1,0.0,2.0
Kitchen_Qual,2.0,0.1,20,0.6,0.7,0.6,2.0
Central_Air_Y,1.0,0.05,20,0.05,0.05,0.0,1.0
Overall_Cond,0.0,0.0,20,0.0,0.0,0.0,0.0
TotRms_AbvGrd,0.0,0.0,20,0.0,0.0,0.0,0.0
Year_Built,0.0,0.0,20,0.0,0.0,0.0,0.0
Sale_Type_New,0.0,0.0,20,0.0,0.0,0.0,0.0
Sale_Condition_Normal,0.0,0.0,20,0.0,0.0,0.0,0.0
Bedroom_AbvGr,0.0,0.0,20,0.0,0.0,0.0,0.0
Lot_Area,0.0,0.0,20,0.0,0.0,0.0,0.0
Longitude,0.0,0.0,20,0.0,0.0,0.0,0.0
Latitude,0.0,0.0,20,0.0,0.0,0.0,0.0
Bsmt_Exposure,0.0,0.0,20,0.0,0.0,0.0,0.0
Garage_Qual,0.0,0.0,20,0.0,0.25,0.25,0.0
Garage_Cond,0.0,0.0,20,0.0,0.2,0.2,0.0
Bsmt_Qual,0.0,0.0,20,0.0,0.0,0.0,0.0
Year_Remod_Add,0.0,0.0,20,0.0,37.5,37.5,0.0
